도로명,지번
서울특별시 은평구 연서로6길 8-1 (역촌동),서울특별시 은평구 역촌동 32-36 연서어린이공원화장실
서울특별시 은평구 은평로13길 35 (녹번동),서울특별시 은평구 녹번동 158-1 새록공원
서울특별시 은평구 증산로5길 37-9 (증산동 현대공원빌라트),서울특별시 은평구 증산동 73-13 현대공원빌라트
서울특별시 은평구 진관1로 76 (진관동),서울특별시 은평구 진관동 125-1 공원관리사무소
서울특별시 은평구 진관길 39 (진관동),서울특별시 은평구 진관동 125-22 공원화장실
서울특별시 은평구 통일로 1079-26 (진관동),서울특별시 은평구 진관동 산63-4 탑골공원관리사무소
서울특별시 서대문구 거북골로 145 (북가좌동)[*미고시],서울특별시 서대문구 북가좌동 480 중앙근린공원 공중화장실
서울특별시 서대문구 세검정로4길 11 (홍제동)[*미고시],서울특별시 서대문구 홍제동 280-2 문화공원 공중화장실
서울특별시 서대문구 증가로32길 42 (북가좌동)[*미고시],서울특별시 서대문구 북가좌동 338-21 거꾸로어린이공원 공중화장실
서울특별시 서대문구 통일로 251 (현저동),서울특별시 서대문구 현저동 101 독립공원
서울특별시 서대문구 통일로 279-5 (현저동)[*미고시],서울특별시 서대문구 현저동 101 독립공원주차장 공중화장실
서울특별시 마포구 가양대로 189 (상암동),서울특별시 마포구 상암동 1735 공원관리사무소
서울특별시 마포구 독막로19길 20-13 (상수동),서울특별시 마포구 상수동 72-7 와우어린이공원 화장실
서울특별시 마포구 마포나루길 467 (망원동),서울특별시 마포구 망원동 205-4 한강공원망원지구사무소
서울특별시 마포구 마포대로4다길 30 (마포동),서울특별시 마포구 마포동 350-5 마포어린이공원 화장실
서울특별시 마포구 성미산로29길 17-3 (연남동),서울특별시 마포구 연남동 250-1 은행나무어린이공원 화장실
서울특별시 마포구 월드컵로 243-60 (성산동),서울특별시 마포구 성산동 390-1 서부공원녹지사업소
서울특별시 마포구 월드컵로 365 (상암동),서울특별시 마포구 상암동 1538 난지천공원 잔디광장매점
서울특별시 마포구 월드컵로15길 53 (망원동),서울특별시 마포구 망원동 381-1 공원화장실
서울특별시 마포구 월드컵북로 183 (성산동),서울특별시 마포구 성산동 200-50 큰길어린이공원
서울특별시 마포구 월드컵북로38나길 27 (중동 공원주택),서울특별시 마포구 중동 36-28 공원주택
서울특별시 마포구 토정로37길 12 (도화동),서울특별시 마포구 도화동 555-1 삼개어린이공원관리실
서울특별시 마포구 한강난지로 162 (상암동),서울특별시 마포구 상암동 487-116 한강공원 난지안내센터
서울특별시 양천구 가로공원로 지하 133 (신월동),서울특별시 양천구 신월동 263 가로공원공영주차장
서울특별시 양천구 가로공원로 149 (신월동),서울특별시 양천구 신월동 84-10 공원오피스
서울특별시 양천구 남부순환로64길 20 (신월동),서울특별시 양천구 신월동 149-20 공원관리사무소
서울특별시 양천구 남부순환로88길 19 (신정동),서울특별시 양천구 신정동 767 넓은들공원관리사무소
서울특별시 양천구 목동동로 363 (목동),서울특별시 양천구 목동 906 파리공원
서울특별시 양천구 목동서로 45 (목동),서울특별시 양천구 목동 908-25 맥도날드파리공원점
서울특별시 양천구 신월로 24 (신정동),서울특별시 양천구 신정동 1321-11 양천도시농업공원 관리사무소
서울특별시 양천구 신정이펜1로 12 (신정동),서울특별시 양천구 신정동 1320-9 공원관리사무소
서울특별시 양천구 지양로 53-1 (신월동),서울특별시 양천구 신월동 987 독서근린공원화장실
서울특별시 양천구 지양로 55-1 (신월동),서울특별시 양천구 신월동 987 공원관리사무소
서울특별시 양천구 지양로7길 19 (신월동 공원다세대주택),서울특별시 양천구 신월동 955-8 공원다세대주택
서울특별시 양천구 지양로7길 19-1 (신월동 공원주택),서울특별시 양천구 신월동 955-5 공원주택
서울특별시 강서구 가로공원로77길 30 (화곡동),서울특별시 강서구 화곡동 379-32 솔뫼공원경로당
서울특별시 강서구 가로공원로82길 5-14 (화곡동 공원빌라),서울특별시 강서구 화곡동 368-10 공원빌라
서울특별시 강서구 강서로56길 49 (등촌동),서울특별시 강서구 등촌동 690-5 원당공원화장실
서울특별시 강서구 강서로62길 35 (등촌동),서울특별시 강서구 등촌동 687-4 등촌근린공원화장실
서울특별시 강서구 강서로80길 117 (가양동),서울특별시 강서구 가양동 1459-9 가양공원관리사무실
서울특별시 강서구 공항대로43길 46 (등촌동),서울특별시 강서구 등촌동 706 서낭당공원관리사무실
서울특별시 강서구 금낭화로 176 (방화동),서울특별시 강서구 방화동 855 방화근린공원관리사무소
서울특별시 강서구 까치산로18길 62 (화곡동),서울특별시 강서구 화곡동 산47-16 무궁화공원 봉제경로당
서울특별시 강서구 마곡중앙로 11 (내발산동),서울특별시 강서구 내발산동 739 공원관리사무실
서울특별시 강서구 방화대로52가길 27 (방화동 공원빌),서울특별시 강서구 방화동 132-90 공원빌
서울특별시 강서구 월정로20길 38 (화곡동),서울특별시 강서구 화곡동 922-10 효심공원 곰달래경로당
서울특별시 강서구 초록마을로 68 (화곡동 공원하이빌),서울특별시 강서구 화곡동 56-179 공원하이빌
서울특별시 강서구 허준로 221-40 (가양동),서울특별시 강서구 가양동 1485-5 공원관리사무실
서울특별시 강서구 허준로5길 42 (가양동),서울특별시 강서구 가양동 1471 허준공원관리사무실
서울특별시 강서구 화곡로24길 66-27 (화곡동 공원하이츠빌),서울특별시 강서구 화곡동 379-75 공원하이츠빌
서울특별시 구로구 개봉로15길 58-7 (개봉동 공원빌라),서울특별시 구로구 개봉동 339-8 공원빌라
서울특별시 구로구 개봉로15길 58-9 (개봉동 공원빌라),서울특별시 구로구 개봉동 339-7 공원빌라
서울특별시 구로구 고척로27다길 57 (고척동 그린공원빌라),서울특별시 구로구 고척동 241-275 그린공원빌라
서울특별시 구로구 고척로33라길 9 (고척동 공원하이츠빌라),서울특별시 구로구 고척동 241-21 공원하이츠빌라
서울특별시 구로구 고척로51길 71 (고척동 공원빌라),서울특별시 구로구 고척동 239-1 공원빌라
서울특별시 구로구 구로중앙로 13 (구로동),서울특별시 구로구 구로동 139-82 구로리공원
서울특별시 구로구 벚꽃로 370 (가리봉동),서울특별시 구로구 가리봉동 1-11 하늘공원주차장
서울특별시 구로구 서해안로 2117 (항동),서울특별시 구로구 항동 91-2 공원관리사무소
서울특별시 금천구 금하로 668 (시흥동),서울특별시 금천구 시흥동 893 금빛공원
서울특별시 금천구 금하로1마길 15-8 (독산동),서울특별시 금천구 독산동 1112 철쭉경로당 철쭉공원
서울특별시 금천구 독산로24마길 30 (시흥동),서울특별시 금천구 시흥동 171-1 삼성체육공원 공영주차장
서울특별시 금천구 시흥대로123길 91 (독산동),서울특별시 금천구 독산동 298-1 공원노인정
서울특별시 영등포구 대림로 106 (대림동),서울특별시 영등포구 대림동 870 대림어린이공원지하주차장
서울특별시 영등포구 디지털로64길 2-25 (대림동 공원빌라),서울특별시 영등포구 대림동 868-2 공원빌라
서울특별시 영등포구 문래로20길 14 (문래동3가 문래공원한신아파트),서울특별시 영등포구 문래동3가 77-2 문래공원한신아파트
서울특별시 영등포구 선유로 343 (당산동),서울특별시 영등포구 당산동 1 선유도공원
서울특별시 영등포구 신길로40길 5 (신길동),서울특별시 영등포구 신길동 232-20 신길4동 공원지하주차장
서울특별시 영등포구 신길로61길 13 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-1 공원도원빌
서울특별시 영등포구 여의공원로 68 (여의도동),서울특별시 영등포구 여의도동 2 여의도공원관리사무소
서울특별시 영등포구 여의동로 48 (여의도동),서울특별시 영등포구 여의도동 4-9 여의도샛강생태공원 방문자센터
서울특별시 영등포구 영신로10길 4-9 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-17 공원도원빌
서울특별시 영등포구 영신로10길 8-1 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-15 공원도원빌
서울특별시 영등포구 영신로10길 8-3 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-14 공원도원빌
서울특별시 영등포구 영신로10길 12 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-11 공원도원빌
서울특별시 영등포구 영신로10길 12-3 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-10 공원도원빌
서울특별시 영등포구 영신로10길 12-4 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-13 공원도원빌
서울특별시 영등포구 영신로10길 12-7 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-9 공원도원빌
서울특별시 영등포구 영신로10길 12-13 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-2 공원도원빌
서울특별시 영등포구 영신로10길 14 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-6 공원도원빌
서울특별시 영등포구 영신로10길 14-1 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-5 공원도원빌
서울특별시 영등포구 영신로10길 14-3 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-4 공원도원빌
서울특별시 영등포구 영신로10길 14-4 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-7 공원도원빌
서울특별시 영등포구 영신로10길 14-5 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646-3 공원도원빌
서울특별시 영등포구 영신로10길 14-6 (영등포동 공원 도원빌),서울특별시 영등포구 영등포동 646-8 공원 도원빌
서울특별시 영등포구 영신로10길 16 (영등포동 공원도원빌),서울특별시 영등포구 영등포동 646 공원도원빌
서울특별시 영등포구 영신로9바길 9-4 (도림동 공원빌),서울특별시 영등포구 도림동 126-1 공원빌
서울특별시 동작구 노량진로 191 (노량진동),서울특별시 동작구 노량진동 152-3 사육신묘지공원
서울특별시 동작구 노량진로 247 (본동),서울특별시 동작구 본동 258-1 본동시민공원
서울특별시 동작구 동작대로9가길 4 (사당동 공원빌라),서울특별시 동작구 사당동 1028-5 공원빌라
서울특별시 동작구 매봉로6길 16 (본동),서울특별시 동작구 본동 126-450 노량진근린공원
서울특별시 동작구 사당로23길 93 (사당동),서울특별시 동작구 사당동 산24-17 삼일(3~1)공원
서울특별시 동작구 알마타길 26 (대방동),서울특별시 동작구 대방동 351-9 공원하우스
서울특별시 동작구 여의대방로20길 33 (신대방동),서울특별시 동작구 신대방동 722 보라매공원
서울특별시 동작구 여의대방로24길 29 (대방동),서울특별시 동작구 대방동 407-47 참새어린이공원
서울특별시 동작구 여의대방로36길 71 (대방동),서울특별시 동작구 대방동 350-5 노량진근린공원
서울특별시 동작구 장승배기로19라길 51 (상도동),서울특별시 동작구 상도동 362-46 백로공원
서울특별시 동작구 현충로 213 (동작동),서울특별시 동작구 동작동 326 동작주차공원
서울특별시 관악구 난곡로11길 43 (신림동)[*미고시],서울특별시 관악구 신림동 685-4 난향공원공중화장실
서울특별시 관악구 남현3가길 10 (남현동 공원빌라),서울특별시 관악구 남현동 1083-15 공원빌라
서울특별시 관악구 남현길 43 (남현동),서울특별시 관악구 남현동 1083-1 예촌어린이공원 공중화장실
서울특별시 관악구 문성로16다길 133-17 (신림동)[*미고시],서울특별시 관악구 신림동 산117-3 선우공원(생태연못)공중화장실
서울특별시 관악구 문성로16다길 133-69 (신림동),서울특별시 관악구 신림동 산117-23 선우공원 공중화장실
서울특별시 관악구 법원단지5나길 77 (신림동)[*미고시],서울특별시 관악구 신림동 산124-6 난우공원 공중화장실
서울특별시 관악구 성현로 99 (봉천동)[*미고시],서울특별시 관악구 봉천동 1712-6 성현드림공원공중화장실
서울특별시 관악구 승방3나길 8 (남현동),서울특별시 관악구 남현동 602-355 공원이 있는 집
서울특별시 관악구 은천로 97 (봉천동),서울특별시 관악구 봉천동 498-7 공원빌딩
서울특별시 관악구 인헌9길 17 (봉천동 공원파크빌라),서울특별시 관악구 봉천동 1641-22 공원파크빌라
서울특별시 서초구 논현로5길 29 (양재동),서울특별시 서초구 양재동 399 구룡공원 공영주차장
서울특별시 서초구 바우뫼로12길 40 (양재동),서울특별시 서초구 양재동 200 서초문화예술공원
서울특별시 서초구 바우뫼로20길 19 (양재동 일건공원빌라),서울특별시 서초구 양재동 104-4 일건공원빌라
서울특별시 서초구 방배중앙로19길 3 (방배동 공원빌라),서울특별시 서초구 방배동 821-4 공원빌라
서울특별시 서초구 신반포로11길 39 (반포동),서울특별시 서초구 반포동 1337-4 한강공원 구반포안내센터
서울특별시 서초구 신반포로11길 40 (반포동),서울특별시 서초구 반포동 115-5 한강공원 반포 안내센터
서울특별시 서초구 양재대로12길 74 (원지동),서울특별시 서초구 원지동 63 서울추모공원
서울특별시 서초구 양재천로7길 27 (양재동 공원빌라),서울특별시 서초구 양재동 106-7 공원빌라
서울특별시 서초구 잠원로 221-124 (잠원동),서울특별시 서초구 잠원동 121 한강공원잠원안내센터
서울특별시 서초구 청계산로7길 9-52 (신원동),서울특별시 서초구 신원동 482-2 공원관리사무소
서울특별시 강남구 남부순환로 2711 (도곡동),서울특별시 강남구 도곡동 204 도곡근린공원 실내배드민턴장
서울특별시 강남구 도산대로96길 39 (청담동 청담공원아파트),서울특별시 강남구 청담동 60 청담공원아파트
서울특별시 강남구 삼성로140길 15 (청담동 공원빌라),서울특별시 강남구 청담동 61-8 공원빌라
서울특별시 강남구 자곡로 78 (자곡동),서울특별시 강남구 자곡동 512-10 세곡근린공원 관리사무소
서울특별시 송파구 거마로24길 6 (마천동 공원타운),서울특별시 송파구 마천동 44-5 공원타운
서울특별시 송파구 동남로 178 (가락동),서울특별시 송파구 가락동 195 개롱근린공원관리소
서울특별시 송파구 동남로23가길 34 (오금동 대영공원아파트),서울특별시 송파구 오금동 54-4 대영공원아파트
서울특별시 송파구 동남로23가길 36 (오금동 혜성공원아파트),서울특별시 송파구 오금동 54-1 혜성공원아파트
서울특별시 송파구 동남로30길 29 (오금동),서울특별시 송파구 오금동 110 누에머리공원
서울특별시 송파구 마천로 98 (오금동),서울특별시 송파구 오금동 38-6 공원빌딩
서울특별시 송파구 백제고분로 489 (방이동),서울특별시 송파구 방이동 52 방이공원
서울특별시 송파구 백제고분로44길 13-24 (송파동 송파공원주택),서울특별시 송파구 송파동 118-3 송파공원주택
서울특별시 송파구 삼학사로1길 40 (삼전동 하늘공원아파트),서울특별시 송파구 삼전동 69-5 하늘공원아파트
서울특별시 송파구 성내천로23길 12 (마천동),서울특별시 송파구 마천동 11 마천공원
서울특별시 송파구 성내천로29길 32 (마천동),서울특별시 송파구 마천동 산2 천마공원 화장실(치유숲)
서울특별시 송파구 송이로15길 41 (가락동),서울특별시 송파구 가락동 21 웃말공원 화장실
서울특별시 송파구 송이로31길 4 (문정동),서울특별시 송파구 문정동 116-6 공원빌딩
서울특별시 송파구 양재대로 지하 1231 (방이동),서울특별시 송파구 방이동 89-28 올림픽공원역
서울특별시 송파구 양재대로 지하 1233 (방이동),서울특별시 송파구 방이동 89-28 올림픽공원역
서울특별시 송파구 양재대로72길 47-8 (오금동),서울특별시 송파구 오금동 6 백토근린공원 경로당
서울특별시 송파구 오금로 363 (오금동),서울특별시 송파구 오금동 51 오금근린공원
서울특별시 송파구 올림픽로 44 (잠실동),서울특별시 송파구 잠실동 84 아시아공원
서울특별시 송파구 올림픽로 424 (방이동),서울특별시 송파구 방이동 88 올림픽공원
서울특별시 송파구 올림픽로43길 34 (풍납동 잠실 올림픽공원 아이파크),서울특별시 송파구 풍납동 514 잠실 올림픽공원 아이파크
서울특별시 송파구 위례성대로 76 (방이동 올림픽공원한승오디브),서울특별시 송파구 방이동 168 올림픽공원한승오디브
서울특별시 송파구 중대로10길 29 (가락동),서울특별시 송파구 가락동 110 건너말공원 경로당
서울특별시 송파구 중대로27길 11 (오금동 오금공원빌라),서울특별시 송파구 오금동 48 오금공원빌라
서울특별시 송파구 중대로38길 3 (오금동 공원아트맨션),서울특별시 송파구 오금동 90-13 공원아트맨션
서울특별시 송파구 헌릉로 793 (장지동),서울특별시 송파구 장지동 877 송파구 자원순환공원
서울특별시 강동구 동남로 620 (둔촌동),서울특별시 강동구 둔촌동 산14-1 일자산자연공원제2체육관
서울특별시 강동구 동남로 660 (둔촌동),서울특별시 강동구 둔촌동 산140 일자산자연공원제1체육관
서울특별시 강동구 동남로 990 (고덕동),서울특별시 강동구 고덕동 287 샘터근린공원 배드민턴장
서울특별시 강동구 아리수로 316-1 (고덕동 공원주택),서울특별시 강동구 고덕동 233-5 공원주택
서울특별시 강동구 올림픽로83길 12 (천호동 공원빌라),서울특별시 강동구 천호동 332-4 공원빌라
서울특별시 강동구 풍성로45길 7-11 (성내동 공원다세대),서울특별시 강동구 성내동 517-4 공원다세대
서울특별시 강동구 풍성로45길 11 (성내동),서울특별시 강동구 성내동 512 안말어린이공원 공영주차장
