"Apart","pps"
"성원대치2단지아파트",1167
"성원대치2단지아파트",1183
"성원대치2단지아파트",1203
"성원대치2단지아파트",1248
"성원대치2단지아파트",1135
"성원대치2단지아파트",1115
"성원대치2단지아파트",1202
"성원대치2단지아파트",1252
"성원대치2단지아파트",1153
"성원대치2단지아파트",1143
"성원대치2단지아파트",1222
"성원대치2단지아파트",1221
"성원대치2단지아파트",1236
"성원대치2단지아파트",1193
"성원대치2단지아파트",1265
"성원대치2단지아파트",1315
"성원대치2단지아파트",1230
"성원대치2단지아파트",1290
"성원대치2단지아파트",1255
"성원대치2단지아파트",1223
"성원대치2단지아파트",1201
"성원대치2단지아파트",1199
"성원대치2단지아파트",1235
"성원대치2단지아파트",1232
"성원대치2단지아파트",1214
"시영",1506
"시영",1806
"시영",1604
"시영",1869
"시영",1515
"시영",1771
"시영",1796
"시영",1695
"시영",1533
"시영",1600
"시영",1613
"시영",1789
"시영",1591
"시영",1559
"시영",1567
"시영",1583
"시영",1588
"시영",1579
"시영",1625
"시영",1578
"시영",1824
"시영",1608
"시영",1627
"시영",1893
"시영",1900
"시영",1928
"시영",1945
"시영",1980
"시영",1612
"시영",1665
"시영",1732
"시영",1622
"시영",1813
"시영",1781
"시영",1713
"시영",1794
"시영",1674
"시영",1658
"시영",1753
"시영",1811
"시영",1654
"시영",1616
"시영",1804
"시영",1641
"시영",2056
"시영",2084
"시영",1786
"시영",1818
"시영",1826
"시영",1729
"우성8",1043
"우성8",1102
"우성9차아파트 901동, 902동",909
"우성9차아파트 901동, 902동",958
"우성9차아파트 901동, 902동",1013
"우성9차아파트 901동, 902동",1042
"우성9차아파트 901동, 902동",991
"우성9차아파트 901동, 902동",978
"주공2",2084
"주공2",2386
"주공2",1668
"주공2",1781
"주공2",2131
"주공2",1679
"주공2",1772
"주공2",2202
"주공2",2359
"주공2",2241
"주공2",1749
"주공2",2659
"주공2",2552
"주공2",2418
"주공2",2556
"현대1차101동~106동",850
"현대2",988
"현대2",878
"현대2",1108
"현대2",969
"현대2",1179
"현대2",1039
"현대2",1062
"현대3",1038
"현대3",1225
"e-편한세상",788
"거평프리젠",794
"논현동한화꿈에그린",953
"논현라폴리움",1446
"논현베르빌",475
"논현파라곤",732
"논현파라곤",747
"논현파라곤",790
"동부센트레빌",873
"동부센트레빌",962
"동부센트레빌",975
"동양파라곤",1215
"동양파라곤",1266
"동양파라곤",1261
"동양파라곤",1198
"동양파라곤",1368
"동양파라곤",1222
"동양파라곤",1229
"동양파라곤",1288
"동현아파트 1~6",942
"동현아파트 1~6",983
"동현아파트 1~6",966
"동현아파트 1~6",1024
"동현아파트 1~6",1001
"동현아파트 1~6",995
"동현아파트 1~6",1007
"두산위브1단지",953
"두산위브1단지",924
"두산위브1단지",926
"두산위브1단지",914
"두산위브1단지",913
"두산위브1단지",943
"라이헤스빌",609
"라이헤스빌",558
"마일스디오빌",959
"마일스디오빌",937
