"학원명","학원주소","lon","lat"
"한길학원","서울특별시 마포구 망원로 66   2층 3층 (망원동)",126.9041955,37.5570243
"뉴마포전산세무회계학원","서울특별시 마포구 대흥로30길 6-8  4.5층 (대흥동)",126.946182,37.5559838
"인지학원","서울특별시 서대문구 거북골로 154  401-405호4층 (북가좌동, 삼호아파트)",126.912952,37.576252
"스카이수학학원","서울특별시 서대문구 독립문로 64 , 2,3층 (냉천동)",126.9637155,37.5673569
"정학원","서울특별시 서대문구 세검정로1길 93 , 홍은동벽산아파트상가A동 309~313호 (홍은동, 홍은벽산아파트)",126.9448316,37.5953446
"영찬보습학원","서울특별시 마포구 성미산로 39  2.3층 (성산동)",126.9123631,37.5590136
"제이엘에스주니어랩영어학원","서울특별시 마포구 대흥로 164  2층 (대흥동)",126.9461226,37.5537676
"현선학원","서울특별시 은평구 연서로27길 20  2층 (갈현동)",126.9175226,37.6183153
"소리피아노학원","서울특별시 은평구 갈현로 291-1  2층 (갈현동)",126.9167688,37.6228009
"잼콩음악학원","서울특별시 은평구 가좌로 280  3층 (신사동)",126.9058019,37.6006355
"미래음악학원","서울특별시 서대문구 연희로36길 10  3층 일부 (연희동)",126.9366673,37.5785766
"까미유끌로델미술학원","서울특별시 마포구 와우산로30길 3 , 2층 (창전동)",126.9231039,37.5470806
"나다움미술학원","서울특별시 마포구 와우산로 114  2.3층 (창전동)",126.9260384,37.5530676
"예림음악학원","서울특별시 마포구 와우산로25길 17  2층 (서교동)",126.9258218,37.5540424
"국제컴퓨터학원","서울특별시 서대문구 통일로 157-6 , 3층 (냉천동213)",126.9640767,37.567998
"영산리틀어학원","서울특별시 은평구 불광로 67  1층 좌측2.3.4층 (불광동)",126.9316476,37.6130983
"편입뷰미술학원","서울특별시 마포구 와우산로 124 2.3층 (창전동)",126.9272084,37.5531612
"고도미술학원","서울특별시 은평구 서오릉로 131 2,3층 (역촌동)",126.9187779,37.6097689
"새경기학원","서울특별시 서대문구 북아현로 54-1   2층일부 (북아현동)",126.9558498,37.5622229
"영광독서실","서울특별시 은평구 녹번로 53  3층4층 (녹번동)",126.9302646,37.6060614
"서울재즈실용아카데미학원","서울특별시 은평구 응암로22길 25  3층 (응암동)",126.9209651,37.5935263
"연세샘터학원","서울특별시 은평구 응암로22길 25  2층 (응암동)",126.9209651,37.5935263
"로사피아노학원","서울특별시 은평구 응암로22길 13 ()",126.9196314,37.5937466
"대성제넥스학원","서울특별시 은평구 갈현로 123  2층 (구산동)",126.9161167,37.6112222
"대조보습학원","서울특별시 은평구 연서로18길 14-1  2층 (대조동)",126.9191257,37.6120355
"예지피아노학원","서울특별시 은평구 응암로12길 30 (응암동)",126.919707,37.5869553
"제일피아노학원","서울특별시 은평구 서오릉로21길 11  345-3(구산동)",126.9075534,37.6148311
"참예지음악학원","서울특별시 마포구 성미산로 185  2층 (연남동)",126.9220027,37.5644783
"예음음악학원","서울특별시 서대문구 응암로 140 2층일부2호 (북가좌동)",126.9150315,37.5846391
"응암명문학원","서울특별시 은평구 응암로24길 14  2층 (응암동)",126.9197927,37.5942598
"걸음악학원","서울특별시 서대문구 연희로41가길 111  2층 (홍은동)",126.9342802,37.5935491
"신종로보습학원","서울특별시 서대문구 증가로12가길 78  2층 (북가좌동)",126.9180564,37.5809943
"로뎀독서실","서울특별시 은평구 진흥로12길 17-1  1.2.3층 (녹번동)",126.9269071,37.60705
"형금음악학원","서울특별시 은평구 수색로 302  3층 (수색동)",126.8915262,37.5843658
"중앙독서실","서울특별시 마포구 월드컵북로 210 ()",126.9057901,37.5691841
"엠아이티학원","서울특별시 은평구 연서로 130 , 7층 702호 (역촌동, 대지빌딩)",126.9171687,37.6102506
"한성독서실","서울특별시 마포구 독막로22길 9 ()",126.9292819,37.5470584
"가나다한국어학원","서울특별시 마포구 동교로25길 15  3.4.5층 (동교동)",126.9215117,37.5576784
"진진미술학원","서울특별시 마포구 대흥로 36  2층 (용강동)",126.9387168,37.5439277
"은평하이클래스학원","서울특별시 은평구 가좌로7다길 7  3층 (응암동)",126.9184159,37.5852514
"진뿌리보습학원","서울특별시 마포구 월드컵북로 163  2층 (성산동)",126.9164918,37.5641136
"고려간호조무사학원","서울특별시 마포구 월드컵로 111 ,  (망원동482-9)3층 일부 (망원동,망원우체국)",126.9078145,37.5581472
"이룸학원","서울특별시 서대문구 응암로 47 2,3층 (북가좌동)",126.9093026,37.5777241
"연세아카데미보습학원","서울특별시 서대문구 북아현로4길 2  3층 (북아현동)",126.9567987,37.5591912
"명문보습학원","서울특별시 은평구 진흥로 160  2.3층 (녹번동)",126.927426,37.6086936
"기탄학원","서울특별시 서대문구 홍은중앙로 94  4층 (홍은동)",126.9478969,37.5990873
"스승과제자학원","서울특별시 은평구 연서로 130 (역촌동,대지빌딩)",126.9171687,37.6102506
"선진에스컴학원","서울특별시 마포구 토정로 219  3층 (신수동)",126.9341669,37.5449347
"새우리피아노학원","서울특별시 마포구 방울내로 41  2.3층 (망원동)",126.9001505,37.55895
"예일무용학원","서울특별시 은평구 연서로 137 ()",126.9168115,37.6111105
