address,Apart,gu,dong,long,lat,dist_from_highschool,highschool,,dist_from_elementaryschool,elementaryschool
가락로 187,한양아파트,송파구,송파동,127.1150782,37.50533068,387.9168038,잠실여자고등학교,,427.6373793,서울송파초등학교
가락로 187,한양아파트,송파구,송파동,127.1150782,37.50533068,387.9168038,잠실여자고등학교,,427.6373793,서울송파초등학교
가락로 187,한양아파트,송파구,송파동,127.1150782,37.50533068,387.9168038,잠실여자고등학교,,427.6373793,서울송파초등학교
가락로 187,한양아파트,송파구,송파동,127.1150782,37.50533068,387.9168038,잠실여자고등학교,,427.6373793,서울송파초등학교
가락로 187,한양아파트,송파구,송파동,127.1150782,37.50533068,387.9168038,잠실여자고등학교,,427.6373793,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로 192,2차한양아파트,송파구,송파동,127.1156021,37.50554748,431.9699624,잠실여자고등학교,,460.3283979,서울송파초등학교
가락로36길 9,해동아파트,송파구,방이동,127.1190738,37.50969914,238.4345632,방산고등학교,,176.2915753,서울방산초등학교
가락로3길 3,밀란체1,송파구,석촌동,127.1001987,37.49917164,458.3920316,배명고등학교,,574.2724381,서울석촌초등학교
가락로5길 4,K.L.C,송파구,석촌동,127.1023468,37.4999158,599.7113133,배명고등학교,,387.1457177,서울석촌초등학교
가로공원로 129,삼익플라주(81-10),양천구,신월동,126.830371,37.53643573,429.6865394,서울금융고등학교,,536.9721658,서울월정초등학교
가로공원로 177,요산 페어뷰,강서구,화곡동,126.8355795,37.53724577,876.3660426,서울금융고등학교,,283.5936076,서울월정초등학교
가로공원로 233,뉴파인,강서구,화곡동,126.8415038,37.5384627,1374.063954,신정여자상업고등학교,,273.519204,서울신월초등학교
가로공원로 82,올림푸스(150-1),양천구,신월동,126.8249864,37.53524215,245.7778278,서울금융고등학교,,381.4280889,서울양원초등학교
가로공원로61길 20,NEW SK 아파트,양천구,신월동,126.8264663,37.53736116,71.84356422,서울금융고등학교,,301.1201895,서울양원초등학교
가로공원로61길 20,NEW SK 아파트,양천구,신월동,126.8264663,37.53736116,71.84356422,서울금융고등학교,,301.1201895,서울양원초등학교
가로공원로77길 27,"대성3,4호(379-58,나동)",강서구,화곡동,126.8384181,37.53811328,1129.694804,서울금융고등학교,,211.9265078,서울신월초등학교
가마산로 231,보광,구로구,구로동,126.8864331,37.49448809,531.6297791,구로고등학교,,264.263552,서울구로초등학교
가마산로 231,보광,구로구,구로동,126.8864331,37.49448809,531.6297791,구로고등학교,,264.263552,서울구로초등학교
가마산로 231,보광,구로구,구로동,126.8864331,37.49448809,531.6297791,구로고등학교,,264.263552,서울구로초등학교
가마산로 268,대림역와이즈플레이스,구로구,구로동,126.8902327,37.49571957,283.4006674,구로고등학교,,198.2660217,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 280,순영웰라이빌2차,구로구,구로동,126.8913867,37.49628382,247.2208955,구로고등학교,,160.1805698,서울동구로초등학교
가마산로 283,성호메이플라워멤버스빌,구로구,구로동,126.8914794,37.4968764,195.6807494,구로고등학교,,216.622426,서울동구로초등학교
가마산로 283,성호메이플라워멤버스빌,구로구,구로동,126.8914794,37.4968764,195.6807494,구로고등학교,,216.622426,서울동구로초등학교
가마산로 283,성호메이플라워멤버스빌,구로구,구로동,126.8914794,37.4968764,195.6807494,구로고등학교,,216.622426,서울동구로초등학교
가마산로 284,하나세인스톤2차,구로구,구로동,126.8918742,37.49653526,247.1003221,구로고등학교,,170.2485333,서울동구로초등학교
가마산로 284,하나세인스톤2차,구로구,구로동,126.8918742,37.49653526,247.1003221,구로고등학교,,170.2485333,서울동구로초등학교
가마산로 284,하나세인스톤2차,구로구,구로동,126.8918742,37.49653526,247.1003221,구로고등학교,,170.2485333,서울동구로초등학교
가마산로 284,하나세인스톤2차,구로구,구로동,126.8918742,37.49653526,247.1003221,구로고등학교,,170.2485333,서울동구로초등학교
가마산로 284,하나세인스톤2차,구로구,구로동,126.8918742,37.49653526,247.1003221,구로고등학교,,170.2485333,서울동구로초등학교
가마산로 286,SR친오애,구로구,구로동,126.8920682,37.49658999,253.6867511,구로고등학교,,173.2485842,서울동구로초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 312,신동아,영등포구,대림동,126.8943769,37.49796078,377.5675493,구로고등학교,,299.4282666,서울신영초등학교
가마산로 442,래미안 영등포 프레비뉴,영등포구,신길동,126.9059756,37.50496753,202.059488,대영고등학교,,289.6407903,서울대영초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 468,신길레전드 힐스,영등포구,신길동,126.9084593,37.50571391,359.6001442,대영고등학교,,280.0137653,서울도림초등학교
가마산로 575,한성,영등포구,신길동,126.9202908,37.50427688,343.8141841,서울공업고등학교,,229.8158258,서울대방초등학교
가마산로 575,한성,영등포구,신길동,126.9202908,37.50427688,343.8141841,서울공업고등학교,,229.8158258,서울대방초등학교
가마산로 575,한성,영등포구,신길동,126.9202908,37.50427688,343.8141841,서울공업고등학교,,229.8158258,서울대방초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
가마산로 87,한일유앤아이,구로구,구로동,126.8761513,37.48579325,953.7172246,구일고등학교,,669.1502539,서울영일초등학교
