"address","Apart","gu","dong","long","lat","dist_from_mart","mart"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,730.385521120879,"석촌역점"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,730.385521120879,"석촌역점"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,730.385521120879,"석촌역점"
"가락로36길 9","해동아파트","송파구","방이동",127.1190738,37.50969914,757.421644245723,"농협방이역점"
"가락로3길 3","밀란체1","송파구","석촌동",127.1001987,37.49917164,858.698898602875,"석촌역점"
"가락로5길 4","K.L.C","송파구","석촌동",127.1023468,37.4999158,664.69042080461,"석촌역점"
"가로공원로 129","삼익플라주(81-10)","양천구","신월동",126.830371,37.53643573,400.126216789838,"신월점"
"가로공원로 177","요산 페어뷰","강서구","화곡동",126.8355795,37.53724577,431.314408931014,"화곡점"
"가로공원로 233","뉴파인","강서구","화곡동",126.8415038,37.5384627,392.607594687369,"화곡점"
"가로공원로 82","올림푸스(150-1)","양천구","신월동",126.8249864,37.53524215,587.129318975224,"신월점"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,318.184670095216,"신월점"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,318.184670095216,"신월점"
"가로공원로77길 27","대성3,4호(379-58,나동)","강서구","화곡동",126.8384181,37.53811328,281.5341818771,"화곡점"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,444.992232747857,"구로점"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,444.992232747857,"구로점"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,444.992232747857,"구로점"
"가마산로 268","대림역와이즈플레이스","구로구","구로동",126.8902327,37.49571957,103.103517008446,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,63.6144929798713,"구로점"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,74.0013889490697,"구로점"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,74.0013889490697,"구로점"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,74.0013889490697,"구로점"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,99.3558219019584,"구로점"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,99.3558219019584,"구로점"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,99.3558219019584,"구로점"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,99.3558219019584,"구로점"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,99.3558219019584,"구로점"
"가마산로 286","SR친오애","구로구","구로동",126.8920682,37.49658999,116.560696433478,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,356.793701263409,"구로점"
"가마산로 442","래미안 영등포 프레비뉴","영등포구","신길동",126.9059756,37.50496753,379.864965883648,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,180.533309745216,"신길점"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,179.246148305251,"농협 여의대로방로점"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,179.246148305251,"농협 여의대로방로점"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,179.246148305251,"농협 여의대로방로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,1419.38691120586,"구로점"
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,1392.245614358,"구로점"
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,1392.245614358,"구로점"
"가마산로 97","현대로얄","구로구","구로동",126.8770342,37.48621962,1392.245614358,"구로점"
"가마산로19길 30","일동행복세상","구로구","구로동",126.8846034,37.49452787,587.648197428372,"구로점"
"가마산로20다길 45","골드마인(나동)","구로구","구로동",126.8887713,37.49278258,454.333048797784,"구로점"
"가마산로20다길 46","다울숲","구로구","구로동",126.8887219,37.49262269,472.449592337893,"구로점"
"가마산로20다길 46","다울숲","구로구","구로동",126.8887219,37.49262269,472.449592337893,"구로점"
"가마산로26길 5","로제리움2차","구로구","구로동",126.8909761,37.49596874,67.7431799909086,"구로점"
"가마산로26길 5","로제리움2차","구로구","구로동",126.8909761,37.49596874,67.7431799909086,"구로점"
