"address","Apart","gu","dong","long","lat","dist_from_academy","academy"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,103.86798129398,"대성독서실"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,103.86798129398,"대성독서실"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,103.86798129398,"대성독서실"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,103.86798129398,"대성독서실"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,103.86798129398,"대성독서실"
"가락로36길 9","해동아파트","송파구","방이동",127.1190738,37.50969914,7.99530870938376,"프라임솔리스트음악학원"
"가락로3길 3","밀란체1","송파구","석촌동",127.1001987,37.49917164,298.698922094503,"민앤송올킬보습학원"
"가락로5길 4","K.L.C","송파구","석촌동",127.1023468,37.4999158,207.453428936318,"루소영어보습학원"
"가로공원로 129","삼익플라주(81-10)","양천구","신월동",126.830371,37.53643573,43.7739266057292,"보람독서실"
"가로공원로 177","요산 페어뷰","강서구","화곡동",126.8355795,37.53724577,149.3473277949,"라움바리스타학원"
"가로공원로 233","뉴파인","강서구","화곡동",126.8415038,37.5384627,58.0521963110836,"송동명의풍선아트학원"
"가로공원로 82","올림푸스(150-1)","양천구","신월동",126.8249864,37.53524215,162.75570651473,"수학의명문엠아이티수학학원"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,81.7748161830854,"브레인스톰2관학원"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,81.7748161830854,"브레인스톰2관학원"
"가로공원로77길 27","대성3,4호(379-58,나동)","강서구","화곡동",126.8384181,37.53811328,87.6047219744836,"시온음악학원"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,31.7292999557999,"수학원"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,31.7292999557999,"수학원"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,31.7292999557999,"수학원"
"가마산로 268","대림역와이즈플레이스","구로구","구로동",126.8902327,37.49571957,78.9652806557595,"학관노경영전문학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 280","순영웰라이빌2차","구로구","구로동",126.8913867,37.49628382,56.1852906640126,"큰학원"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,71.0439366401188,"대림씨엠피실용음악학원"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,71.0439366401188,"대림씨엠피실용음악학원"
"가마산로 283","성호메이플라워멤버스빌","구로구","구로동",126.8914794,37.4968764,71.0439366401188,"대림씨엠피실용음악학원"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,28.6183113457002,"대림씨엠피실용음악학원"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,28.6183113457002,"대림씨엠피실용음악학원"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,28.6183113457002,"대림씨엠피실용음악학원"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,28.6183113457002,"대림씨엠피실용음악학원"
"가마산로 284","하나세인스톤2차","구로구","구로동",126.8918742,37.49653526,28.6183113457002,"대림씨엠피실용음악학원"
"가마산로 286","SR친오애","구로구","구로동",126.8920682,37.49658999,11.0520655885038,"대림씨엠피실용음악학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 312","신동아","영등포구","대림동",126.8943769,37.49796078,51.2644940330972,"수피부미용학원"
"가마산로 442","래미안 영등포 프레비뉴","영등포구","신길동",126.9059756,37.50496753,122.70966157408,"지앤비도림학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 468","신길레전드 힐스","영등포구","신길동",126.9084593,37.50571391,125.809864872164,"눈높이러닝센터신길3동학원"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,86.2852127677905,"크레용펀키즈어학원"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,86.2852127677905,"크레용펀키즈어학원"
"가마산로 575","한성","영등포구","신길동",126.9202908,37.50427688,86.2852127677905,"크레용펀키즈어학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
"가마산로 87","한일유앤아이","구로구","구로동",126.8761513,37.48579325,117.738363917227,"에코스터디원격학원"
