지점,도로명,lon,lat
양재점,서울 서초구 양재대로 159,127.03607,37.4619661
상봉점,서울 중랑구 망우로 336,127.0902753,37.5967521
양평점,서울 영등포구 선유로 156,126.8921603,37.5276365
가든5점,서울특별시 송파구 충민로 10,127.1238462,37.4851331
가양점,서울 강서구 양천로 559,126.8622978,37.5578966
구로점,서울 구로구 디지털로 32길 43,126.89788,37.4843537
마포점,서울특별시 마포구 백범로 212,126.9532728,37.54909
명일점,서울 강동구 고덕로 276,127.1557517,37.5546516
목동점,서울특별시 양천구 오목로 299,126.8703272,37.5257763
묵동점,서울특별시 중랑구 동일로 932,127.0775029,37.613797
미아점,서울특별시 성북구 도봉로 17 (길음동),127.0296051,37.6108648
상봉점,서울 중랑구 상봉로 118,127.0935903,37.596438
성수점,서울 성동구 뚝섬로 379,127.0531674,37.5399389
수색점,서울 은평구 수색로 217 (수색동 디엠씨 자이1단지(DMC 자이1)),126.8987214,37.5795991
수서점,서울특별시 강남구 광평로 280,127.1031088,37.4872829
신도림점,서울특별시 구로구 새말로 97 테크노마트 지하2층,126.8902185,37.5070431
신월점,서울특별시 양천구 화곡로 59,126.8285127,37.5397142
양재점,서울특별시 서초구 매헌로 16,127.0369582,37.4629528
여의도점,서울특별시 영등포구 여의동로3길 10,126.9261297,37.5181371
역삼점,서울특별시 강남구 역삼로 310,127.048424,37.4992239
영등포점,서울특별시 영등포구 영중로 15,126.9041419,37.517007
왕십리점,서울특별시 성동구 왕십리광장로 17 이마트 왕십리점,127.0384407,37.5592833
용산점,서울특별시 용산구 한강대로23길 55,126.9640447,37.5288539
월계점,서울특별시 노원구 마들로3길 15,127.0619091,37.62644
은평점,서울 은평구 은평로 111 이마트 은평점,126.9202568,37.6003893
이문점,서울특별시 동대문구 이문로 136,127.0618484,37.5984506
이수점,서울특별시 동작구 사당로 300 이수자이 B1,126.9804085,37.4839828
자양점,서울특별시 광진구 아차산로 272,127.0726183,37.5376127
창동점,서울 도봉구 노해로 65길 4,127.046933,37.6516821
천호점,서울 강동구 천호대로 1017,127.1253669,37.5386477
청계천점,서울특별시 중구 청계천로 400,127.0213284,37.5708733
하월곡점,서울특별시 성북구 종암로 167 (하월곡동 동일하이빌뉴시티),127.0409997,37.6041779
양재점,서울 서초구 청계산로 10,127.0429229,37.4636076
창동점,서울 도봉구 마들로11길 20 창동하나로클럽,127.0521044,37.6553982
관악농협본점,서울 관악구 남부순환로 1369,126.9027293,37.4799052
서대문점,서울 중구 통일로 120,126.967636,37.5658379
송파농협본점,서울특별시 송파구 송파대로 155(문정동),127.1227388,37.4843901
신촌점,서울 마포구 신촌로 66 농협중앙회,126.9331229,37.5560188
동서울농협신내점,서울 중랑구 신내로 74,127.0956422,37.6058912
서서울농협사직지점,서울 종로구 사직로8길 4,126.9688505,37.5743822
농협미아점,서울 강북구 도봉로33길 18 성북프라자,127.0264792,37.6215343
서서울농협상암점,서울 마포구 월드컵북로 356 서서울농협 DMC 첨단주차전용건축물,126.892821,37.577034
강서농협가양점,서울 강서구 강서로 489,126.8410428,37.5691239
