"학교명","주소","lon","lat"
"숭문중학교","서울특별시 마포구 숭문길 99 (대흥동,숭문중고등학교)",126.9451307,37.5515272
"숭실중학교","서울특별시 은평구 은평터널로7길 6 (신사동)",126.9032327,37.593125
"영락중학교","서울특별시 은평구 백련산로 134-6 , 영락중학교 (응암동)",126.925105,37.5969343
"예일여자중학교","서울특별시 은평구 연서로 117 (구산동)",126.9152074,37.610194
"이화여자대학교사범대학부속이화<U+30FB>금란중학교","서울특별시 서대문구 성산로 520 (대신동)",126.9441304,37.5626975
"인창중학교","서울특별시 서대문구 경기대로 65 , 인창중학교 (충정로2가)",126.9642522,37.5652529
"정원여자중학교","서울특별시 서대문구 연희로37안길 51 , 정원여자중학교 (홍은동)",126.9333622,37.5853095
"중앙여자중학교","서울특별시 서대문구 북아현로11가길 7 (북아현동)",126.9531684,37.5628641
"충암중학교","서울특별시 은평구 가좌로5길 5 (응암동)",126.9217386,37.5850457
"한성중학교","서울특별시 서대문구 북아현로3길 24 (북아현동,한성중<U+30FB>고등학교)",126.9545831,37.5599241
"홍익대학교사범대학부속여자중학교","서울특별시 마포구 성미산로 51 , 홍익대학교사범대학부속여자중학교 (성산동)",126.9134939,37.5601072
"가산중학교","서울특별시 금천구 시흥대로115길 48 , 가산중학교 (독산동)",126.8943377,37.4684705
"개봉중학교","서울특별시 구로구 고척로21나길 68 , 개봉중학교 (개봉동)",126.8419568,37.5027624
"개웅중학교","서울특별시 구로구 개봉로11길 81 , 개웅중학교 (개봉동,개웅중학교)",126.8512184,37.4872782
"경인중학교","서울특별시 구로구 경인로 301 ,   (개봉동,경인중학교)",126.8542754,37.498177
"고척중학교","서울특별시 구로구 중앙로3길 20 (고척동)",126.8619978,37.5002646
"구로중학교","서울특별시 구로구 구로중앙로 48 (구로동,구로중학교)",126.890612,37.4948193
"구일중학교","서울특별시 구로구 구일로 90-133 , 구일중학교 (구로동)",126.8741206,37.4951528
"난곡중학교","서울특별시 금천구 문성로 67 (독산동)",126.9107419,37.4778025
"당산서중학교","서울특별시 영등포구 당산로41길 12 (당산동5가)",126.898589,37.531954
"당산중학교","서울특별시 영등포구 버드나루로 160 (당산동)",126.9075733,37.5314041
"대림중학교","서울특별시 영등포구 시흥대로185길 6 , 대림중학교 (대림동)",126.9075609,37.492089
"대영중학교","서울특별시 영등포구 도림로80가길 14 (신길동)",126.9049773,37.503337
"문래중학교","서울특별시 영등포구 선유서로13길 6 , 문래중학교 (문래동6가)",126.88423,37.5200944
"문성중학교","서울특별시 금천구 독산로102길 78 , 문성중학교 (독산동)",126.9080339,37.4755169
"선유중학교","서울특별시 영등포구 선유로 213 , 선유중학교 (양평동3가)",126.8943356,37.532804
"세일중학교","서울특별시 금천구 시흥대로147길 34 , 세일중학교 (독산동)",126.8956746,37.4744613
"시흥중학교","서울특별시 금천구 시흥대로38길 60 , 시흥중학교 (시흥동)",126.9064243,37.4463538
"신도림중학교","서울특별시 구로구 경인로63길 74 (신도림동,신도림중학교)",126.8853135,37.5104289
"안천중학교","서울특별시 금천구 한내로 69-44 (독산동)",126.8874105,37.4593606
"양화중학교","서울특별시 영등포구 당산로 56 , 양화중학교 (문래동3가)",126.8960538,37.5197727
"여의도중학교","서울특별시 영등포구 국제금융로7길 46 , 여의도중학교 (여의도동)",126.9358364,37.5238644
"영남중학교","서울특별시 영등포구 대림로31나길 17 , 영남중학교 (대림동)",126.896035,37.4974029
"영림중학교","서울특별시 구로구 가마산로27길 17 (구로동)",126.8903736,37.4975539
"영서중학교","서울특별시 구로구 도림로20길 35 , 영서중학교 (구로동)",126.8945039,37.4887493
"영원중학교","서울특별시 영등포구 영등포로62길 31 , 영원중학교 (영등포동)",126.914068,37.5157325
"오남중학교","서울특별시 구로구 오리로9길 25 , 오남중학교 (오류동)",126.8365967,37.4872364
"오류중학교","서울특별시 구로구 고척로27바길 19 (고척동)",126.8461343,37.5078957
"윤중중학교","서울특별시 영등포구 여의동로3길 3 (여의도동)",126.9237317,37.5189929
