"address","Apart","gu","dong","long","lat","dist_from_elementaryschool","elementaryschool"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로 192","2차한양아파트","송파구","송파동",127.1156021,37.50554748,460.328397915271,"서울송파초등학교"
"가락로36길 9","해동아파트","송파구","방이동",127.1190738,37.50969914,176.291575338462,"서울방산초등학교"
"가락로3길 3","밀란체1","송파구","석촌동",127.1001987,37.49917164,574.272438073159,"서울석촌초등학교"
"가락로5길 4","K.L.C","송파구","석촌동",127.1023468,37.4999158,387.145717651005,"서울석촌초등학교"
"가로공원로 129","삼익플라주(81-10)","양천구","신월동",126.830371,37.53643573,536.972165813191,"서울월정초등학교"
"가로공원로 177","요산 페어뷰","강서구","화곡동",126.8355795,37.53724577,283.593607615936,"서울월정초등학교"
"가로공원로 233","뉴파인","강서구","화곡동",126.8415038,37.5384627,273.519203988748,"서울신월초등학교"
"가로공원로 82","올림푸스(150-1)","양천구","신월동",126.8249864,37.53524215,381.428088878099,"서울양원초등학교"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,301.120189486045,"서울양원초등학교"
"가로공원로61길 20","NEW SK 아파트","양천구","신월동",126.8264663,37.53736116,301.120189486045,"서울양원초등학교"
"가로공원로77길 27","대성3,4호(379-58,나동)","강서구","화곡동",126.8384181,37.53811328,211.926507836002,"서울신월초등학교"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,264.263551973422,"서울구로초등학교"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,264.263551973422,"서울구로초등학교"
"가마산로 231","보광","구로구","구로동",126.8864331,37.49448809,264.263551973422,"서울구로초등학교"
"가마산로 268","대림역와이즈플레이스","구로구","구로동",126.8902327,37.49571957,198.266021719173,"서울동구로초등학교"
