"학교명","주소","lon","lat"
"선유고등학교","서울특별시 영등포구 선유로 277 , 선유고등학교 (양평동4가)",126.894824,37.5334079
"성동고등학교","서울특별시 중구 퇴계로90길 17 (신당동)",127.0232038,37.5641365
"성수고등학교","서울특별시 성동구 서울숲길 18 , 성수고등학교 (성수동1가)",127.0389082,37.5471714
"세종과학고등학교","서울특별시 구로구 오리로21길 79 , 세종과학고등학교 (궁동)",126.8275423,37.4971937
"세현고등학교","서울특별시 강서구 허준로 227 , 세현고등학교 (가양동)",126.8634531,37.5605057
"수도여자고등학교","서울특별시 동작구 여의대방로10길 73 , 신대방동 (신대방동,수도여자고등학교)",126.9155463,37.4931834
"수락고등학교","서울특별시 노원구 동일로245길 143 (상계동,수락고등학교)",127.0534302,37.6827744
"수명고등학교","서울특별시 강서구 수명로2길 15 (내발산동, 수명고등학교)",126.8248201,37.5495605
"신도고등학교","서울특별시 은평구 통일로 961 (진관동)",126.9184283,37.6291368
"신도림고등학교","서울특별시 구로구 경인로67길 159 , 신도림고등학교 (신도림동)",126.8820637,37.5140117
"신림고등학교","서울특별시 관악구 문성로 119 , 신림고등학교 (신림동)",126.9169137,37.4783793
"신목고등학교","서울특별시 양천구 안양천로 739 , 신목고등학교 (신정동)",126.8735718,37.5127292
"신서고등학교","서울특별시 양천구 은행정로 42 , 신서고등학교 (신정동)",126.8601767,37.5238435
"신현고등학교","서울특별시 중랑구 봉화산로 174 , 신현고등학교 (상봉동)",127.0928739,37.605171
"압구정고등학교","서울특별시 강남구 압구정로39길 20 (압구정동)",127.0328538,37.5311729
"양재고등학교","서울특별시 서초구 남부순환로346길 9 , 양재고등학교 (서초동)",127.032051,37.4830119
"언남고등학교","서울특별시 서초구 동산로13길35 (양재동, 언남고등학교)",127.0430232,37.4728384
"여의도고등학교","서울특별시 영등포구 국제금융로7길 37 , 여의도고등학교 (여의도동)",126.933669,37.5249
"여의도여자고등학교","서울특별시 영등포구 국제금융로7가길 13 , 여의도여자고등학교 (여의도동)",126.9348916,37.5227061
"영등포고등학교","서울특별시 동작구 등용로8길 5 (대방동)",126.9337092,37.5083322
"영등포여자고등학교","서울특별시 영등포구 영등포로62길 13 (신길동)",126.9152716,37.5153771
"영신고등학교","서울특별시 영등포구 대방천로14길 18 , 영신고등학교 (신길동)",126.9095203,37.4975375
"오금고등학교","서울특별시 송파구 중대로 247 (오금동)",127.1293421,37.5042602
"용산고등학교","서울특별시 용산구 두텁바위로 60 용산고등학교 (용산동2가)",126.9798033,37.545593
"원묵고등학교","서울특별시 중랑구 숙선옹주로 82 (묵동)",127.0855959,37.6151791
"월계고등학교","서울특별시 노원구 초안산로5길 66 (월계동)",127.0486867,37.6317394
"은평고등학교","서울특별시 은평구 갈현로15길 51 (구산동)",126.9058482,37.6092227
"인헌고등학교","서울특별시 관악구 인헌9길 74 , 인헌고등학교 (봉천동)",126.9700577,37.4714278
"자양고등학교","서울특별시 광진구 뚝섬로37길 28 (자양동,자양고등학교)",127.0729298,37.5355414
"자운고등학교","서울특별시 도봉구 노해로69길 150 , 자운고등학교 (창동)",127.0504043,37.6590526
"잠신고등학교","서울특별시 송파구 잠실로 24 , 잠신고등학교 (잠실동)",127.0893428,37.5151526
"잠실고등학교","서울특별시 송파구 올림픽로33길 71 , 신천동17-1 (신천동)",127.1062937,37.5226167
"잠일고등학교","서울특별시 송파구 백제고분로 21 (잠실동)",127.0908246,37.5056381
"중경고등학교","서울특별시 용산구 이촌로84길 34 , 이촌1동 300-201 (이촌동)",126.9757149,37.5176026
"중화고등학교","서울특별시 중랑구 봉화산로27길 62 , 중화고등학교 (중화동)",127.0832543,37.6047209
"진관고등학교","서울특별시 은평구 진관4로 26 , 진관고등학교 (진관동)",126.9243044,37.6434069
"창덕여자고등학교","서울특별시 송파구 양재대로 1240 , 창덕여자고등학교 (방이동)",127.1402281,37.5161314
"창동고등학교","서울특별시 도봉구 노해로62길 7  (창동)",127.0383612,37.6509764
"청담고등학교","서울특별시 강남구 압구정로 419 (압구정동)",127.0435289,37.5278836
"청량고등학교","서울특별시 동대문구 왕산로 303 (청량리동,청량고등학교)",127.0507427,37.5885921
"태릉고등학교","서울특별시 중랑구 신내로23길 36 , 태릉고등학교 (묵동)",127.0852631,37.6190025
"한성과학고등학교","서울특별시 서대문구 통일로 279-79 , 한성과학고등학교 (현저동)",126.9527945,37.5759104
"혜화여자고등학교","서울특별시 강북구 인수봉로 127 , 혜화여자고등학교 (수유동)",127.0131309,37.6308054
"효문고등학교","서울특별시 도봉구 우이천로 432 (쌍문동,효문중 고등학교)",127.0182409,37.6522473
"휘봉고등학교","서울특별시 동대문구 한천로 290 (휘경동)",127.0636187,37.5900176
"강동고등학교","서울특별시 강동구 구천면로 572 (상일동)",127.1606809,37.5499155
"강서고등학교","서울특별시 양천구 목동중앙남로 27 , 강서고등학교 (목동)",126.866561,37.5363813
"건국대학교사범대학부속고등학교","서울특별시 광진구 능동로 120 , 건국대학교사범대학부속고등학교 (화양동)",127.0804443,37.5401481
"경문고등학교","서울특별시 동작구 동작대로 171 , 경문고등학교 (동작동)",126.9815837,37.4925398
"경복여자고등학교","서울특별시 강서구 화곡로63길 40 (등촌동)",126.8514662,37.558054
"경성고등학교","서울특별시 마포구 성미산로 111 , 경성고등학교 (연남동)",126.9188675,37.5633876
"경신고등학교","서울특별시 종로구 혜화로 74 (혜화동,경신중고등학교)",127.0002166,37.5921987
"경희고등학교","서울특별시 동대문구 경희대로 26 , 경희고등학교 (회기동)",127.0548501,37.5945328
"경희여자고등학교","서울특별시 동대문구 경희대로 26 , 경희여자고등학교  (회기동,경희대학교)",127.0512357,37.5949256
"계성고등학교","서울특별시 성북구 길음로 63 계성고등학교 (길음동)",127.0204337,37.6075189
"고려대학교사범대학부속고등학교","서울특별시 성북구 정릉로 161 (정릉동)",127.0012996,37.6096807
"광문고등학교","서울특별시 강동구 동남로 968 광문고등학교 (고덕동)",127.1582616,37.5602816
"광성고등학교","서울특별시 마포구 신수로8길 20 , 광성고등학교 (신수동)",126.9363908,37.5487585
"광신고등학교","서울특별시 관악구 광신길 141 , 광신고등학교 (신림동)",126.9256312,37.4651377
"광영고등학교","서울특별시 양천구 남부순환로30길 17 광영고등학교 (신월동)",126.823684,37.537723
"광영여자고등학교","서울특별시 양천구 남부순환로30길 17 , 광영여자고등학교 (신월동)",126.8249328,37.5378104
"남강고등학교","서울특별시 관악구 난곡로34길 80 (신림동,남강중고등학교)",126.924733,37.4714269
"단국대학교사범대학부속고등학교","서울특별시 강남구 도곡로64길 21 , 단대부고  (대치동)",127.0566864,37.4956302
"대광고등학교","서울특별시 동대문구 안암로 6 , 대광고등학교 (신설동)",127.0247227,37.577861
"대성고등학교","서울특별시 은평구 갈현로29길 51-24 , 대성고등학교 (갈현동)",126.9097809,37.623122
"대신고등학교","서울특별시 종로구 사직로 9 (행촌동)",126.9644702,37.572203
"대원고등학교","서울특별시 광진구 용마산로22길 26 , 대원고등학교 (중곡동)",127.0894865,37.5631761
"대원여자고등학교","서울특별시 광진구 용마산로22길 26 , 대원여자고등학교 (중곡동)",127.0893896,37.5623944
"대원외국어고등학교","서울특별시 광진구 용마산로22길 26 , 대원외국어고등학교 (중곡동)",127.0891321,37.5636956
"대일고등학교","서울특별시 강서구 등촌로 105 (등촌동,대일고등학교)",126.8632789,37.5394064
"대일외국어고등학교","서울특별시 성북구 서경로 116 , 대일외국어고등학교 (정릉동)",127.0140031,37.6138123
"대진고등학교","서울특별시 노원구 공릉로62가길 47 , 대진고 (하계동)",127.0754302,37.6375834
"대진여자고등학교","서울특별시 노원구 공릉로 438 (중계동,대진여자고등학교)",127.0671138,37.646157
"덕성여자고등학교","서울특별시 종로구 율곡로3길 50 , 덕성여자고등학교 (안국동)",126.9831366,37.5779443
"덕원여자고등학교","서울특별시 강서구 강서로45길 91-44 , 덕원여자고등학교 (내발산동)",126.8286791,37.5485066
"덕원예술고등학교","서울특별시 강서구 강서로45길 91-44 (내발산동,덕원예술고등학교)",126.8284013,37.5495064
"동국대학교사범대학부속고등학교","서울특별시 동대문구 장안벚꽃로 201 , 동국대학교사범대학부속고등학교 (장안동)",127.0747621,37.5780101
"동국대학교사범대학부속여자고등학교","서울특별시 광진구 광나루로36길 47 (구의동,동국대학교사범대학부속여자중고등학교)",127.0870007,37.5431763
"동덕여자고등학교","서울특별시 서초구 효령로2길 123-5 , 동덕여자고등학교 (방배동)",126.992426,37.4758739
"동명여자고등학교","서울특별시 은평구 통일로 793 (대조동)",126.9250289,37.6143891
"동북고등학교","서울특별시 강동구 강동대로 305 (둔촌동)",127.1406733,37.5200101
"동성고등학교","서울특별시 종로구 대학로 156 동성고등학교 (혜화동 90-7)",127.0029398,37.585086
"동양고등학교","서울특별시 강서구 허준로 50 (가양동,동양고등학교)",126.8471645,37.5689521
"동일여자고등학교","서울특별시 금천구 탑골로10길 45 (시흥동)",126.916402,37.4513899
"마포고등학교","서울특별시 강서구 화곡로 403 , 마포고등학교 (등촌동,마포고등학교)",126.8536047,37.5600145
"명덕고등학교","서울특별시 강서구 강서로47길 34-10 , 명덕고등학교 (내발산동)",126.8354285,37.5538808
"명덕여자고등학교","서울특별시 강서구 강서로47길 34-10 (내발산동)",126.8347305,37.5536011
"명덕외국어고등학교","서울특별시 강서구 강서로47길 34-10 , 명덕외국어고등학교 (내발산동,명덕여자고등학교)",126.8334004,37.5540714
"명지고등학교","서울특별시 서대문구 명지2길 56 , 명지고등학교 (홍은동)",126.927078,37.584879
"목동고등학교","서울특별시 양천구 목동동로2길 68 , 목동고등학교 (신정동)",126.8607326,37.5089842
"문일고등학교","서울특별시 금천구 시흥대로47길 45 (시흥동)",126.8984231,37.4493523
"미림여자고등학교","서울특별시 관악구 호암로 546 ,  미림여자고등학교 (신림동)",126.9329121,37.466541
"배명고등학교","서울특별시 송파구 삼학사로 11 (삼전동)",127.095807,37.5013664
"배문고등학교","서울특별시 용산구 효창원로 258 (서계동, 배문중.고등학교)",126.9642789,37.550241
"배재고등학교","서울특별시 강동구 고덕로 227 (고덕동,배재중 고등학교)",127.1496025,37.5556498
