"address","Apart","gu","dong","long","lat","distance","place","code","lon","lat"
"가마산로79길 19","신길동자이","영등포구","신길동",126.916861,37.50611776,29.5894390257575,"신길GS자이아파트정문","19894",126.9171066208,37.5062985565
"가마산로79길 7","삼성래미안","영등포구","신길동",126.9160263,37.50514886,16.5439540433886,"삼성아파트1단지","19581",126.9161985592,37.5050904398
"가산로 106","주상복합두산","금천구","가산동",126.893612,37.47539304,56.3229208210724,"두산위브아파트정문","18794",126.8936139249,37.4748870849
"가산로 147","가산지웰에스테이트","금천구","가산동",126.8905896,37.47835784,19.8387622887884,"디지털단지오거리","18116",126.8907157886,37.4782104216
"가산로 99","두산","금천구","가산동",126.8936119,37.47461382,30.4202355213693,"두산위브아파트정문","18794",126.8936139249,37.4748870849
"가재울로 45","남가좌동현대","서대문구","남가좌동",126.9214214,37.5750966,21.2427294874306,"남가좌동아이파크정문","13830",126.9215738878,37.5749489217
"가재울로4길 46","명지플러스빌(B)","서대문구","남가좌동",126.9240424,37.57565117,108.628547034022,"홍남교백련시장입구","13262",126.9251839684,37.5752855695
"가재울로6길 53","백련미라보","서대문구","남가좌동",126.9239021,37.57646874,92.84256258013,"백련시장","13228",126.9249301317,37.5766469566
"가재울미래로 2","DMC파크뷰자이1단지","서대문구","남가좌동",126.9184223,37.57018096,175.083076243643,"서대문종합사회복지관","13261",126.9201437133,37.5709633371
"가재울미래로 2","DMC파크뷰자이2단지","서대문구","남가좌동",126.9184223,37.57018096,175.083076243643,"서대문종합사회복지관","13261",126.9201437133,37.5709633371
"가재울미래로 2","DMC파크뷰자이5단지","서대문구","남가좌동",126.9184223,37.57018096,175.083076243643,"서대문종합사회복지관","13261",126.9201437133,37.5709633371
"가재울미래로 2","DMC파크뷰자이3단지","서대문구","남가좌동",126.9184223,37.57018096,175.083076243643,"서대문종합사회복지관","13261",126.9201437133,37.5709633371
"가좌로 100","명가","서대문구","홍은동",126.9268708,37.58180684,74.6236675318576,"명지대삼거리","13197",126.926363438,37.5812704533
"가좌로 285","모델리안1","은평구","신사동",126.9123693,37.5937554,61.1539939845568,"신사초등학교","12161",126.9128484808,37.5933583703
"가좌로 291","다원그린","은평구","신사동",126.9118779,37.59409179,118.29947773524,"신사초등학교","12161",126.9128484808,37.5933583703
"가좌로 295","명남더블레스(39-4)","은평구","신사동",126.9115407,37.59438855,162.657378555516,"신사초등학교","12161",126.9128484808,37.5933583703
"가좌로 297","명남더블레스(39-19)","은평구","신사동",126.9114219,37.59448162,177.393051700326,"신사초등학교","12161",126.9128484808,37.5933583703
"가좌로 303","회림","은평구","신사동",126.9109723,37.59483781,123.193634907005,"상신초등학교","12160",126.9099682771,37.5956071263
"가좌로 34","홍연","서대문구","연희동",126.9320063,37.5776004,7.71031809335275,"연희지하차도","13214",126.9320574772,37.5775442547
"가좌로 341","미래하임(아파트)","은평구","신사동",126.9075028,37.59701516,57.6540074708112,"농수산할인마트","12863",126.9080526428,37.5967350848
"가좌로 342","홍익","은평구","신사동",126.9078807,37.59752818,89.5800075364326,"농수산할인마트","12863",126.9080526428,37.5967350848
"가좌로 344","현대2","은평구","신사동",126.9077412,37.59750517,90.0190639198672,"농수산할인마트","12863",126.9080526428,37.5967350848
"가좌로 345","예성그린","은평구","신사동",126.9072509,37.59714782,84.3298200897301,"농수산할인마트","12863",126.9080526428,37.5967350848
"가좌로 391","신사씨티","은평구","신사동",126.9042541,37.60049935,201.318071872586,"신사1동경로당","12714",126.9064259132,37.6010559497
"가좌로10길 25","세종레디안","은평구","응암동",126.9167915,37.59309864,83.2802494367186,"태평양약국","12820",126.9177351579,37.5931230888
"가좌로12길 12","형진","은평구","신사동",126.9078849,37.59817692,161.184802759477,"농수산할인마트","12863",126.9080526428,37.5967350848
"가좌로12길 15","두산위브2차","은평구","신사동",126.9075309,37.59861478,147.012612901155,"두산.한신아파트","12504",126.906462809,37.5996286571
"가좌로7나길 30","우성","은평구","응암동",126.9190861,37.58378356,105.665385573899,"은가어린이공원구150번종점","13265",126.9196202751,37.5829339719
"가좌로7나길 35","경남","은평구","응암동",126.9197094,37.58333403,45.2229731393652,"은가어린이공원구150번종점","13265",126.9196202751,37.5829339719
"갈현로 143","에덴드림","은평구","구산동",126.911028,37.61075901,75.1760077107513,"구산동주민센터.구산치안센터","12214",126.911363,37.61138
"갈현로 166","새천년드림","은평구","구산동",126.9115872,37.61279104,92.5906537034287,"구산동주민센터.구산치안센터","12215",126.9112635928,37.6119997728
"갈현로 97","만민라이프","은평구","역촌동",126.9105417,37.6066453,56.5501251021442,"시립서북병원세현교회앞","12212",126.910658933,37.6061458636
"갈현로11길 46","경남아너스빌","은평구","구산동",126.9054251,37.60479876,9.12857235608673,"경남아너스빌.서북병원","12873",126.9055112666,37.6048441969
"갈현로12길 7","예승","은평구","역촌동",126.911464,37.60634943,74.5274456883708,"시립서북병원세현교회앞","12212",126.910658933,37.6061458636
"갈현로15길 53","경향","은평구","구산동",126.9062827,37.61014714,38.7831255963362,"경향파크아파트","12502",126.9064058814,37.6098126903
"갈현로16길 16","우신","은평구","구산동",126.9127687,37.60794158,58.4602668065374,"엔에스아파트","12599",126.9131547681,37.6075146741
"갈현로17길 17","브라운스톤구산","은평구","구산동",126.9095284,37.61177602,155.028863431483,"구산동주민센터.구산치안센터","12215",126.9112635928,37.6119997728
"갈현로17나길 31","우공아트빌","은평구","구산동",126.9101647,37.60880363,58.9868310107581,"구산중학교.구산교회","12216",126.9108335829,37.6088023972
"갈현로1길 28","뉴서울(277-2)","은평구","신사동",126.9070703,37.59969546,54.0929022531156,"두산.한신아파트","12504",126.906462809,37.5996286571
"갈현로1길 31","신사동한신휴플러스","은평구","신사동",126.906602,37.59940971,27.290212643448,"두산.한신아파트","12504",126.906462809,37.5996286571
"갈현로1길 36","은평신사두산위브","은평구","신사동",126.9063484,37.59980752,20.2227644024564,"두산.한신아파트","12727",126.9063506929,37.5996258649
"갈현로23길 41","한솔","은평구","갈현동",126.910245,37.61854214,311.493109275479,"선일여고.이비즈니스고","12506",126.9127522188,37.6205134295
"갈현로29길 11","미미","은평구","갈현동",126.9142062,37.6194594,35.5878167172688,"미미아파트","12512",126.9145751762,37.6193298376
"갈현로29길 30","반도하우드","은평구","갈현동",126.9129034,37.62085301,34.3755398837429,"선일여고.이비즈니스고","12593",126.9128620661,37.6205459497
"갈현로29길 52","메카","은평구","갈현동",126.9115029,37.62231287,5.79811080555651,"대성중.고등학교","12597",126.9114393749,37.6223263334
