"지점","도로명","지번","lon","lat"
"양재점","서울 서초구 양재대로 159","서울 서초구 양재동 217-6",127.03607,37.4619661
"상봉점","서울 중랑구 망우로 336","서울 중랑구 상봉동 81",127.0902753,37.5967521
"양평점","서울 영등포구 선유로 156","서울 영등포구 양평동3가 65",126.8921603,37.5276365
