"학원명","학원주소","lon","lat"
"닥터수학보습학원","서울특별시 강남구 삼성로58길 39 , 2층 3호 (대치동)",127.0643814,37.499418
"제일정보처리학원","서울특별시 강남구 삼성로 38 , 304호,503호 (개포동)",127.0668327,37.48865
"삼부컴퓨터학원","서울특별시 강남구 도곡로27길 3   2층 (역삼동)",127.0420902,37.49316
"최선어학원","서울특별시 강남구 남부순환로 2917 , 4층 (대치동,청실상가동)",127.073809,37.496399
"상지보습학원","서울특별시 강남구 영동대로128길 15 , 3층 (삼성동,홍실아파트상가)",127.0596582,37.5197837
"비엠아이(BMI-Butterfly Math Institute)수학학원","서울특별시 강남구 남부순환로 2936 , 406호 (대치동,대치동 507 제2종근린생활시설)",127.0619031,37.4933099
"청담수도컴퓨터학원","서울특별시 강남구 도산대로 503   까사아레떼빌딩 4층 (청담동)",127.0479571,37.5245927
"한국조주학원","서울특별시 강남구 언주로94길 7 , 3~4층 (역삼동)",127.042675,37.5044846
"청송독서실","서울특별시 강남구 양재대로55길 15 , 5층 (일원동)",127.0874759,37.4918487
"에스모드서울패션디자인학원","서울특별시 강남구 압구정로 106 , 3층,4층 (신사동)",127.0203465,37.5224838
"지아이에이코리아보석감정학원","서울특별시 강남구 압구정로 320 , 5층 (신사동,극동Gallery)",127.0364419,37.5285045
"화인속셈학원","서울특별시 강남구 논현로10길 28 , 3층 (개포동)",127.0507991,37.4748217
"강남대연보습학원","서울특별시 강남구 남부순환로365길 26 ()",127.0395591,37.4869942
"듀오(DUO)영어학원","서울특별시 강남구 삼성로 649   상아쇼핑센타 2층 (삼성동)",127.0565207,37.5139848
"문예원웅변학원","서울특별시 강남구 도곡로 509 , 2층~4층 (대치동,문원빌딩)",127.0620502,37.499541
"나리미술학원","서울특별시 강남구 강남대로124길 23   2층 (논현동)",127.0244964,37.5093367
"대영이피아이(EPI)학원","서울특별시 강남구 영동대로112길 51 , 2층 (삼성동,남성빌딩)",127.0645181,37.5158203
"수석속셈학원","서울특별시 강남구 논현로63길 25  (역삼동)",127.0388869,37.4922491
"영희웅변학원","서울특별시 강남구 일원로3길 28 ()",127.0827029,37.491736
"대치휘튼학원","서울특별시 강남구 삼성로64길 45   탐스코빌딩 5층 (대치동)",127.0639352,37.500961
