"유치원명","설립","주소","lon","lat"
"서울독산초등학교병설유치원","공립","서울특별시 금천구 시흥대로104길 31 , 서울독산초등학교병설유치원 (독산동)",126.9000078,37.4651014
"서울두산초등학교병설유치원","공립","서울특별시 금천구 범안로11길 3 (독산동, 두산초등학교)",126.8911197,37.4674898
"서울매봉초등학교병설유치원","공립","서울특별시 구로구 고척로21길 55 , 서울매봉초등학교병설유치원 (개봉동)",126.844401,37.5047066
"서울미래초등학교병설유치원","공립","서울특별시 구로구 새말로 73 (구로동,미래초등학교)",126.8880222,37.5049915
"서울백산초등학교병설유치원","공립","서울특별시 금천구 시흥대로38길 78 , 서울백산초등학교병설유치원 (시흥동)",126.9050911,37.4465482
"서울세곡초등학교병설유치원","공립","서울특별시 구로구 고척로33길 34 , 서울세곡초등학교병설유치원 (고척동)",126.8491236,37.5045632
"서울신미림초등학교병설유치원","공립","서울특별시 구로구 신도림로 26 , 서울신미림초등학교병설유치원 (신도림동)",126.8795364,37.506707
"서울영동초등학교병설유치원","공립","서울특별시 영등포구 국회대로53길 20 (당산동)",126.9074081,37.5263594
"서울영등포초등학교병설유치원","공립","서울특별시 영등포구 경인로 756 (문래동1가,영등포초등학교)",126.8983677,37.5126511
"서울영림초등학교병설유치원","공립","서울특별시 영등포구 시흥대로173길 14 , 서울영림초등학교병설유치원 (대림동)",126.9024751,37.4873472
"서울영서초등학교병설유치원","공립","서울특별시 구로구 도림로20길 57 , 서울영서초등학교병설유치원 (구로동)",126.8951187,37.4882651
"서울영중초등학교병설유치원","공립","서울특별시 영등포구 양산로 185 (영등포동7가)",126.9038411,37.5233936
"서울윤중초등학교병설유치원","공립","서울특별시 영등포구 여의나루로2길 14 (여의도동)",126.9228068,37.5197467
"서울천왕초등학교병설유치원","공립","서울특별시 구로구 천왕로1길 11 , 천왕초등학교병설유치원 (천왕동)",126.8374889,37.4815891
"서울탑동유치원","공립","서울특별시 금천구 탑골로 47-3 (시흥동)",126.9149142,37.4524341
"서울하늘숲유치원","공립","서울특별시 구로구 오리로 1102-19 서울하늘숲유치원 (천왕동)",126.843021,37.4849981
"서울공릉초등학교병설유치원","공립","서울특별시 노원구 동일로173길 12 (공릉동)",127.0741878,37.6188016
"서울노일유치원","공립","서울특별시 노원구 동일로231길 24 (상계동)",127.0539025,37.6725826
"서울도봉초등학교병설유치원","공립","서울특별시 도봉구 도봉로173길 96 , 서울도봉초등학교병설유치원 (도봉동)",127.0383493,37.6792999
"서울동일초등학교병설유치원","공립","서울특별시 노원구 한글비석로 566 (상계동,동일초등학교)",127.05457,37.664941
"서울상경초등학교병설유치원","공립","서울특별시 노원구 수락산로 237 (상계동,상경초등학교)",127.0516814,37.6703596
"서울상곡초등학교병설유치원","공립","서울특별시 노원구 노원로38길 34 (상계동,상곡초등학교)",127.0627589,37.6626151
"서울수락초등학교병설유치원","공립","서울특별시 노원구 동일로 1745 , 서울수락초등학교병설유치원 (상계동)",127.0544032,37.6842718
"서울수암초등학교병설유치원","공립","서울특별시 노원구 중계로12길 9 (중계동)",127.0813718,37.6478737
"서울신상계초등학교병설유치원","공립","서울특별시 노원구 상계로 267 (상계동,신상계초등학교)",127.0755956,37.6680427
"서울신창초등학교병설유치원","공립","서울특별시 도봉구 덕릉로60길 93 (창동,신창초등학교)",127.0418612,37.6365444
"서울연촌초등학교병설유치원","공립","서울특별시 노원구 공릉로58길 36 (하계동,연촌초등학교)",127.072875,37.6346948
"서울창동초등학교병설유치원","공립","서울특별시 도봉구 해등로16길 81 (창동,창동초등학교)",127.0447938,37.6553307
"서울태랑초등학교병설유치원","공립","서울특별시 노원구 화랑로51나길 31 (공릉동)",127.0905347,37.6259486
"서울남정초등학교병설유치원","공립","서울특별시 용산구 원효로64길 17-10 (원효로2가)",126.9649883,37.5360588
"서울덕수초등학교병설유치원","공립","서울특별시 중구 덕수궁길 140 , 서울덕수초등학교병설유치원 (정동)",126.9745254,37.5685067
"서울명신초등학교병설유치원","공립","서울특별시 종로구 낙산길 250 (창신동)",127.013846,37.5812388
"서울서빙고초등학교병설유치원","공립","서울특별시 용산구 서빙고로51길 14 , 서울서빙고초등학교병설유치원 (서빙고동)",126.9917195,37.5213184
"서울장충유치원","공립","서울특별시 중구 청구로17길 40 , 서울장충유치원 (신당동)",127.010306,37.5592319
"서울재동초등학교병설유치원","공립","서울특별시 종로구 북촌로4길 7 , 서울재동초등학교병설유치원 (가회동)",126.9854407,37.5795553
"서울창신초등학교병설유치원","공립","서울특별시 종로구 지봉로 73 서울창신초등학교병설유치원 (창신동)",127.0144101,37.5763398
"서울청파초등학교병설유치원","공립","서울특별시 용산구 효창원로 228 (청파동2가)",126.9663212,37.547037
"서울충무초등학교병설유치원","공립","서울특별시 중구 퇴계로50길 13 , 서울충무초등학교 (장충동2가)",127.0017451,37.5620636
"서울한남초등학교병설유치원","공립","서울특별시 용산구 한남대로 112 (한남동,한남초등학교)",127.0049958,37.5389175
"서울혜화초등학교병설유치원","공립","서울특별시 종로구 혜화로 32 (혜화동)",127.0000249,37.5888137
"서울가락초등학교병설유치원","공립","서울특별시 송파구 송파대로37길 45 (가락동, 가락초등학교)",127.1077921,37.4997675
"서울강덕초등학교병설유치원","공립","서울특별시 강동구 동남로82길 94-54 (고덕동,서울강덕초등학교)",127.1603131,37.5589001
