"address","Apart","gu","dong","long","lat","dist_from_highschool","highschool"
"밤고개로26길 50","강남한신휴플러스6단지","강남구","율현동",127.105484,37.468035,2340.71294051467,"서울로봇고등학교"
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393,2034.92124554176,"문현고등학교"
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393,2034.92124554176,"문현고등학교"
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393,2034.92124554176,"문현고등학교"
"밤고개로27길 20","강남한신휴플러스8단지","강남구","율현동",127.111247,37.469393,2034.92124554176,"문현고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"평창문화로 172","삼성","종로구","평창동",126.978884,37.611107,1061.92656164441,"서울예술고등학교"
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197,370.256369712222,"중경고등학교"
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197,370.256369712222,"중경고등학교"
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197,370.256369712222,"중경고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"신내역로 165","신내 데시앙포레","중랑구","신내동",127.109678,37.615403,1072.16716889212,"송곡관광고등학교"
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057,1193.09727124413,"송곡관광고등학교"
"평창문화로 172","삼성","종로구","평창동",126.978884,37.611107,1061.92656164441,"서울예술고등학교"
"이촌로 310","래미안첼리투스아파트","용산구","이촌동",126.979877,37.517197,370.256369712222,"중경고등학교"
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057,1193.09727124413,"송곡관광고등학교"
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057,1193.09727124413,"송곡관광고등학교"
"신내역로1길 85","신내우디안1단지","중랑구","신내동",127.106723,37.617057,1193.09727124413,"송곡관광고등학교"
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,205.708285865393,"광운전자공업고등학교"
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,205.708285865393,"광운전자공업고등학교"
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,205.708285865393,"광운전자공업고등학교"
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,205.708285865393,"광운전자공업고등학교"
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,205.708285865393,"광운전자공업고등학교"
"월계로42길 97","꿈의숲 SK VIEW","노원구","월계동",127.053828,37.620641,205.708285865393,"광운전자공업고등학교"
"4.19로11길 16","진안골드밸리","강북구","수유동",127.0082939,37.64566661,1142.48939863364,"효문고등학교"
"4.19로1길 33","정원","강북구","수유동",127.0139352,37.64654007,740.039434316256,"효문고등학교"
"63로 32","콤비빌딩","영등포구","여의도동",126.9386981,37.51896085,535.510402253915,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 45","시범","영등포구","여의도동",126.9389962,37.52034352,447.772860932525,"여의도여자고등학교"
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981,491.765760693381,"여의도여자고등학교"
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981,491.765760693381,"여의도여자고등학교"
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981,491.765760693381,"여의도여자고등학교"
"63로 7","은하","영등포구","여의도동",126.9357381,37.51833981,491.765760693381,"여의도여자고등학교"
"가락로 187","한양아파트","송파구","송파동",127.1150782,37.50533068,387.916803768019,"잠실여자고등학교"
"가락로 187","한양아파트","송파구","송파동",127.1150782,37.50533068,387.916803768019,"잠실여자고등학교"
"가락로 187","한양아파트","송파구","송파동",127.1150782,37.50533068,387.916803768019,"잠실여자고등학교"
