지점,도로명,지번
강남점,서울 서초구 신반포로 176,서울 서초구 반포동 19-3
영등포점,서울 영등포구 영중로 9,서울 영등포구 영등포동4가 434-5
본점,서울 중구 소공로 63 신세계백화점본점,서울 중구 충무로1가 52-5 신세계백화점본점
