지점,도로명,지번
디큐브시티점,서울 구로구 경인로 662,서울 구로구 신도림동 692
무역센터점,서울 강남구 테헤란로 517 현대백화점무역센터점,서울 강남구 삼성동 159-7 현대백화점무역센터점
천호점,서울 강동구 천호대로 1005 현대백화점천호점,서울 강동구 천호동 455-8 현대백화점천호점
압구정본점,서울 강남구 압구정로 165 현대백화점압구정본점,서울 강남구 압구정동 429 현대백화점압구정본점
목동점,서울 양천구 목동동로 257 현대백화점목동점,서울 양천구 목동 916 현대백화점목동점
신촌점,서울 서대문구 신촌로 83 현대백화점신촌점,서울 서대문구 창천동 30-33 현대백화점신촌점
미아점,서울 성북구 동소문로 315 현대백화점미아점,서울 성북구 길음동 20-1 현대백화점미아점
